"MatchType","Ctype","Desc","CrimeCat"
"d",,"POSSESS_MARIJUANA_HASHISH","QUALITY_DRUG_POSSESSION_MARIJUANA"
"d",,"POSSESS_MARIJUANA_HASHISH","QUALITY_DRUG_POSSESSION_MARIJUANA"
"d",,"POSSESS_MARIJUANA_HASHISH_FOR_SALE","QUALITY_DRUG_POSSESSION_MARIJUANA"
"d",,"POSSESS_MARIJUANA_OVER_28_5_GRAMS","QUALITY_DRUG_POSSESSION_MARIJUANA"
"d",,"POSSESS_MARIJUANA_OVER_28_5_GRAMS","QUALITY_DRUG_POSSESSION_MARIJUANA"
"d",,"POSSESS_CONTROLLED_SUBSTANCE_FOR_SALE","QUALITY_DRUG_SALE-MFCTR"
"d",,"POSSESS_FOR_SALE_SELL_CONTROLLED_SUBSTANCE","QUALITY_DRUG_SALE-MFCTR"
"d",,"POSSESS_MARIJUANA_HASHISH_FOR_SALE","QUALITY_DRUG_SALE-MFCTR"
"d",,"POSSESS_PURCHASE_COCAINE_BASE_FOR_SALE","QUALITY_DRUG_SALE-MFCTR"
"d",,"POSSESS_PURCHASE_FOR_SALE_NARCOTIC_CONTROLLED_SUBSTANCE","QUALITY_DRUG_SALE-MFCTR"
"d",,"SELL_FURNISH_ETC_MARIJUANA_HASHISH","QUALITY_DRUG_SALE-MFCTR"
"d",,"TRANSPORT_SELL_CONTROLLED_SUBSTANCE__AMENDED_","QUALITY_DRUG_SALE-MFCTR"
"d",,"TRANSPORT_SELL_NARCOTIC_CONTROLLED_SUBSTANCE","QUALITY_DRUG_SALE-MFCTR"
"c","DRUNKENNESS",,"QUALITY_LIQUOR"
"d",,"ANNOYING_TELEPHONE_CALL_OBSCENE_THREATENING","QUALITY_TELEPHONE"
"d"," ","RAPE_BY_FORCE_FEAR_ETC","RAPE"
"d"," ","RAPE_VICTIM_INCAPABLE_OF_GIVING_CONSENT","RAPE"
"d"," ","RAPE_VICTIM_UNCONSCIOUS_OF_THE_NATURE_OF_THE_ACT","RAPE"
"d"," ","SC_RAPE","RAPE"
"c","FORCIBLE_RAPE"," ","RAPE"
"cd","ROBBERY","ATTEMPTED_ROBBERY_FIREARM","ROBBERY_ATTEMPTED"
